sigma,true_class,overlap_W_IH_vs_target,overlap_W_IMG_self_consistency
0.4,5,0.6333333333333333,0.5933333333333334
0.4,5,0.3466666666666667,0.5133333333333333
0.4,4,0.3933333333333333,0.52
0.4,3,0.4,0.66
0.4,3,0.22666666666666666,0.56
0.4,2,0.08,0.3933333333333333
0.4,1,0.17333333333333334,0.48
0.4,6,0.32666666666666666,0.4266666666666667
0.4,4,0.7266666666666667,0.6133333333333333
0.4,7,0.7266666666666667,0.48
0.4,8,0.23333333333333334,0.5933333333333334
0.4,2,0.18,0.54
0.4,5,0.35333333333333333,0.5466666666666666
0.4,7,0.24,0.48
0.4,5,0.2,0.6
0.4,1,0.02666666666666667,0.4
0.4,5,0.5666666666666667,0.6066666666666667
0.4,8,0.006666666666666667,0.54
0.4,6,0.08,0.5733333333333334
0.4,1,0.47333333333333333,0.5066666666666667
0.4,8,0.22666666666666666,0.5066666666666667
0.4,2,0.6333333333333333,0.62
0.4,3,0.17333333333333334,0.47333333333333333
0.4,8,0.04,0.47333333333333333
0.4,4,0.14666666666666667,0.5866666666666667
0.4,2,0.0,0.5666666666666667
0.4,2,0.02,0.49333333333333335
0.5,1,0.41333333333333333,0.4
0.5,8,0.22,0.48
0.5,3,0.35333333333333333,0.47333333333333333
0.5,9,0.47333333333333333,0.49333333333333335
0.5,6,0.1,0.4866666666666667
0.5,6,0.11333333333333333,0.48
0.5,7,0.15333333333333332,0.44
0.5,2,0.6,0.41333333333333333
0.5,2,0.0,0.46
0.5,8,0.0,0.4533333333333333
0.5,7,0.7533333333333333,0.5266666666666666
0.5,5,0.07333333333333333,0.5066666666666667
0.5,8,0.2866666666666667,0.48
0.5,1,0.41333333333333333,0.4066666666666667
